clip_id,region,main_category,macro_category,subcategory,source_url,video_title,start_time,end_time,duration,file_path,reasoning_layer,aen_score
UT_UI_A_20260606_190956,UttarPradesh,Environment,Urban_Industrial,Autorickshaws,https://www.youtube.com/watch?v=I2joqBj5yi0,Auto Rickshaw Sound,0,25,25,dataset/UttarPradesh/Environment/Urban_Industrial/Autorickshaws/UT_UI_A_20260606_190956.wav,AT,
UT_UI_A_20260606_191108,UttarPradesh,Environment,Urban_Industrial,Autorickshaws,https://www.youtube.com/watch?v=I2joqBj5yi0,Auto Rickshaw Sound,61,86,25,dataset/UttarPradesh/Environment/Urban_Industrial/Autorickshaws/UT_UI_A_20260606_191108.wav,AT,
UT_UI_A_20260606_192205,UttarPradesh,Environment,Urban_Industrial,Autorickshaws,https://www.youtube.com/watch?v=kAj6iFz0zf8,"Auto Rickshaw's 3 Wheeler Driving Sounds on Hill Road ""U"" Turn | Auto Videos | Crazy AutoWala",7,32,25,dataset/UttarPradesh/Environment/Urban_Industrial/Autorickshaws/UT_UI_A_20260606_192205.wav,AT,
UT_UI_A_20260606_195219,UttarPradesh,Environment,Urban_Industrial,Autorickshaws,https://www.youtube.com/shorts/HLBk47SscLw,Three Wheeler Auto Rickshaw Sound,0,4,4,dataset/UttarPradesh/Environment/Urban_Industrial/Autorickshaws/UT_UI_A_20260606_195219.wav,AT,
UT_UI_A_20260606_200124,UttarPradesh,Environment,Urban_Industrial,Autorickshaws,https://www.youtube.com/watch?v=i0LBtC6WOC8,Autorickshaw 3 Wheeler on POTHOLES Roads | Tuk Tuk Rickshaw Videos | Auto Videos | Crazy AutoWala,194,203,9,dataset/UttarPradesh/Environment/Urban_Industrial/Autorickshaws/UT_UI_A_20260606_200124.wav,PI,
UT_UI_A_20260606_203452,UttarPradesh,Environment,Urban_Industrial,Autorickshaws,https://www.youtube.com/watch?v=i0LBtC6WOC8&t=203s,Autorickshaw 3 Wheeler on POTHOLES Roads | Tuk Tuk Rickshaw Videos | Auto Videos | Crazy AutoWala,550,557,7,dataset/UttarPradesh/Environment/Urban_Industrial/Autorickshaws/UT_UI_A_20260606_203452.wav,AT,
UT_UI_A_20260606_203640,UttarPradesh,Environment,Urban_Industrial,Autorickshaws,https://www.youtube.com/watch?v=i0LBtC6WOC8&t=203s,Autorickshaw 3 Wheeler on POTHOLES Roads | Tuk Tuk Rickshaw Videos | Auto Videos | Crazy AutoWala,653,663,10,dataset/UttarPradesh/Environment/Urban_Industrial/Autorickshaws/UT_UI_A_20260606_203640.wav,AT,
UT_UI_A_20260606_203842,UttarPradesh,Environment,Urban_Industrial,Autorickshaws,https://www.youtube.com/watch?v=i0LBtC6WOC8&t=203s,Autorickshaw 3 Wheeler on POTHOLES Roads | Tuk Tuk Rickshaw Videos | Auto Videos | Crazy AutoWala,808,832,24,dataset/UttarPradesh/Environment/Urban_Industrial/Autorickshaws/UT_UI_A_20260606_203842.wav,AT,
UT_UI_A_20260606_205406,UttarPradesh,Environment,Urban_Industrial,Autorickshaws,https://www.youtube.com/watch?v=n1zUTqtm4rE,2025 BAJAJ MAXIMA X WIDE | CNG | 236CC 9.5HP | POV Drive #126 | MAXIMA | 4K | #bajajmaxima #bajaj,254,279,25,dataset/UttarPradesh/Environment/Urban_Industrial/Autorickshaws/UT_UI_A_20260606_205406.wav,PI,
UT_UI_A_20260606_205709,UttarPradesh,Environment,Urban_Industrial,Autorickshaws,https://www.youtube.com/watch?v=R57SA20uUQ4,tuk tuk පිස්සෝ 2,4,29,25,dataset/UttarPradesh/Environment/Urban_Industrial/Autorickshaws/UT_UI_A_20260606_205709.wav,AT,
